Country,Year,Sex,Age,Suicide,Suicides_100k_Pop,Population, GDP  ,generation
Albania,1996,Female,75+ years,2,4.85,41200,"3,314,898,292",G.I. Generation
Albania,1996,Female,25-34 years,10,3.73,267900,"3,314,898,292",Generation X
Albania,1996,Male,35-54 years,12,3.16,379600,"3,314,898,292",Boomers
Albania,1996,Female,35-54 years,9,2.49,362000,"3,314,898,292",Boomers
Albania,1996,Male,55-74 years,3,1.67,179900,"3,314,898,292",Silent
Albania,1996,Female,55-74 years,1,0.55,183100,"3,314,898,292",Silent
Albania,1996,Male,05-14 years,2,0.53,380400,"3,314,898,292",Millenials
Albania,1996,Female,05-14 years,1,0.28,354100,"3,314,898,292",Millenials
Albania,1997,Male,25-34 years,36,15.25,236000,"2,359,903,108",Generation X
Albania,1997,Male,15-24 years,33,13.5,244400,"2,359,903,108",Generation X
Albania,1997,Male,75+ years,3,11.81,25400,"2,359,903,108",G.I. Generation
Albania,1997,Male,35-54 years,30,7.88,380800,"2,359,903,108",Boomers
Albania,1997,Female,15-24 years,21,7.14,294000,"2,359,903,108",Generation X
Albania,1997,Male,55-74 years,12,6.66,180300,"2,359,903,108",Silent
Albania,1997,Female,25-34 years,16,5.84,273900,"2,359,903,108",Generation X
Albania,1997,Female,75+ years,2,4.75,42100,"2,359,903,108",G.I. Generation
Albania,1997,Female,35-54 years,7,1.89,370100,"2,359,903,108",Boomers
Albania,1997,Female,05-14 years,6,1.66,361800,"2,359,903,108",Millenials
Albania,1997,Male,05-14 years,4,1.05,381500,"2,359,903,108",Millenials
Albania,1997,Female,55-74 years,0,0,187000,"2,359,903,108",Silent
Albania,1998,Male,75+ years,3,11.63,25800,"2,707,123,772",G.I. Generation
Albania,1998,Male,15-24 years,27,10.85,248800,"2,707,123,772",Generation X
Albania,1998,Female,15-24 years,32,10.83,295600,"2,707,123,772",Generation X
Albania,1998,Male,25-34 years,26,10.82,240400,"2,707,123,772",Generation X
Albania,1998,Male,35-54 years,29,7.47,388200,"2,707,123,772",Boomers
Albania,1998,Male,55-74 years,9,4.9,183800,"2,707,123,772",Silent
Albania,1998,Female,25-34 years,10,3.63,275300,"2,707,123,772",Generation X
Albania,1998,Female,55-74 years,6,3.19,188200,"2,707,123,772",Silent
Albania,1998,Female,35-54 years,9,2.42,372100,"2,707,123,772",Boomers
Albania,1998,Male,05-14 years,2,0.51,388400,"2,707,123,772",Millenials
Albania,1998,Female,05-14 years,1,0.27,363800,"2,707,123,772",Millenials
Albania,1998,Female,75+ years,0,0,42300,"2,707,123,772",G.I. Generation
Albania,1999,Male,75+ years,3,11.58,25900,"3,414,760,915",G.I. Generation
Albania,1999,Male,15-24 years,24,9.58,250600,"3,414,760,915",Generation X
Albania,1999,Female,75+ years,4,9.43,42400,"3,414,760,915",G.I. Generation
Albania,1999,Male,35-54 years,31,7.93,391100,"3,414,760,915",Boomers
Albania,1999,Male,25-34 years,19,7.84,242300,"3,414,760,915",Generation X
Albania,1999,Male,55-74 years,14,7.56,185200,"3,414,760,915",Silent
Albania,1999,Female,15-24 years,19,6.4,296800,"3,414,760,915",Generation X
Albania,1999,Female,25-34 years,13,4.7,276500,"3,414,760,915",Generation X
Albania,1999,Female,55-74 years,6,3.18,188800,"3,414,760,915",Silent
Albania,1999,Female,35-54 years,5,1.34,373600,"3,414,760,915",Boomers
Albania,1999,Female,05-14 years,1,0.27,365200,"3,414,760,915",Millenials
Albania,1999,Male,05-14 years,0,0,391300,"3,414,760,915",Millenials
Albania,2000,Male,25-34 years,17,7.33,232000,"3,632,043,908",Generation X
Albania,2000,Male,55-74 years,10,5.64,177400,"3,632,043,908",Silent
Albania,2000,Female,75+ years,2,5.29,37800,"3,632,043,908",G.I. Generation
Albania,2000,Male,75+ years,1,4.02,24900,"3,632,043,908",G.I. Generation
Albania,2000,Female,15-24 years,6,2.27,263900,"3,632,043,908",Generation X
Albania,2000,Male,15-24 years,5,2.08,240000,"3,632,043,908",Generation X
Albania,2000,Female,35-54 years,5,1.51,332200,"3,632,043,908",Boomers
Albania,2000,Female,25-34 years,3,1.22,245800,"3,632,043,908",Generation X
Albania,2000,Male,35-54 years,4,1.07,374700,"3,632,043,908",Boomers
Albania,2000,Male,05-14 years,1,0.27,374900,"3,632,043,908",Millenials
Albania,2000,Female,05-14 years,0,0,324700,"3,632,043,908",Millenials
Albania,2000,Female,55-74 years,0,0,168000,"3,632,043,908",Silent
Albania,2001,Male,25-34 years,22,10.65,206484,"4,060,758,804",Generation X
Albania,2001,Male,35-54 years,34,8.98,378826,"4,060,758,804",Boomers
Albania,2001,Male,55-74 years,11,5.59,196670,"4,060,758,804",Silent
Albania,2001,Female,75+ years,2,4.23,47254,"4,060,758,804",Silent
Albania,2001,Male,15-24 years,10,3.91,256039,"4,060,758,804",Millenials
Albania,2001,Female,15-24 years,9,3.32,271359,"4,060,758,804",Millenials
Albania,2001,Female,35-54 years,12,3.24,370191,"4,060,758,804",Boomers
Albania,2001,Male,75+ years,1,3.22,31044,"4,060,758,804",Silent
Albania,2001,Female,55-74 years,6,3.16,189799,"4,060,758,804",Silent
Albania,2001,Male,05-14 years,6,1.87,321556,"4,060,758,804",Millenials
Albania,2001,Female,25-34 years,4,1.8,222771,"4,060,758,804",Generation X
Albania,2001,Female,05-14 years,2,0.65,307356,"4,060,758,804",Millenials
Albania,2002,Male,75+ years,4,12.9,31007,"4,435,078,648",Silent
Albania,2002,Male,25-34 years,23,11.15,206286,"4,435,078,648",Generation X
Albania,2002,Male,35-54 years,35,9.16,382139,"4,435,078,648",Boomers
Albania,2002,Male,55-74 years,13,6.56,198130,"4,435,078,648",Silent
Albania,2002,Male,15-24 years,15,5.7,263067,"4,435,078,648",Millenials
Albania,2002,Female,15-24 years,14,5.07,275970,"4,435,078,648",Millenials
Albania,2002,Female,35-54 years,15,4,375113,"4,435,078,648",Boomers
Albania,2002,Female,25-34 years,7,3.13,223685,"4,435,078,648",Generation X
Albania,2002,Female,75+ years,1,2.11,47407,"4,435,078,648",Silent
Albania,2002,Female,55-74 years,4,2.09,191712,"4,435,078,648",Silent
Albania,2002,Female,05-14 years,1,0.33,304850,"4,435,078,648",Millenials
Albania,2002,Male,05-14 years,1,0.31,319473,"4,435,078,648",Millenials
Albania,2003,Female,75+ years,6,12.22,49088,"5,746,945,913",Silent
Albania,2003,Male,55-74 years,16,7.94,201520,"5,746,945,913",Silent
Albania,2003,Male,35-54 years,28,7.25,386196,"5,746,945,913",Boomers
Albania,2003,Male,15-24 years,15,5.49,273235,"5,746,945,913",Millenials
Albania,2003,Female,15-24 years,14,4.93,283709,"5,746,945,913",Millenials
Albania,2003,Female,55-74 years,9,4.6,195699,"5,746,945,913",Silent
Albania,2003,Male,25-34 years,9,4.38,205433,"5,746,945,913",Generation X
Albania,2003,Female,25-34 years,9,4.04,222941,"5,746,945,913",Generation X
Albania,2003,Female,35-54 years,13,3.41,381760,"5,746,945,913",Boomers
Albania,2003,Male,75+ years,1,3.06,32667,"5,746,945,913",Silent
Albania,2003,Male,05-14 years,4,1.28,313204,"5,746,945,913",Millenials
Albania,2003,Female,05-14 years,0,0,298477,"5,746,945,913",Millenials
Albania,2004,Male,75+ years,4,11.26,35526,"7,314,865,176",Silent
Albania,2004,Male,35-54 years,39,9.95,391767,"7,314,865,176",Boomers
Albania,2004,Male,25-34 years,16,7.85,203938,"7,314,865,176",Generation X
Albania,2004,Female,15-24 years,20,6.84,292268,"7,314,865,176",Millenials
Albania,2004,Male,15-24 years,19,6.63,286768,"7,314,865,176",Millenials
Albania,2004,Female,75+ years,3,5.89,50970,"7,314,865,176",Silent
Albania,2004,Female,25-34 years,11,4.95,222389,"7,314,865,176",Generation X
Albania,2004,Male,55-74 years,10,4.83,207202,"7,314,865,176",Silent
Albania,2004,Female,35-54 years,17,4.34,391436,"7,314,865,176",Boomers
Albania,2004,Female,55-74 years,3,1.47,203841,"7,314,865,176",Silent
Albania,2004,Female,05-14 years,3,1.05,286705,"7,314,865,176",Millenials
Albania,2004,Male,05-14 years,1,0.33,302181,"7,314,865,176",Millenials
Albania,2005,Female,15-24 years,0,0,281922,"8,158,548,717",Millenials
Albania,2005,Female,25-34 years,0,0,190745,"8,158,548,717",Generation X
Albania,2005,Female,35-54 years,0,0,386513,"8,158,548,717",Boomers
Albania,2005,Female,05-14 years,0,0,276559,"8,158,548,717",Millenials
Albania,2005,Female,55-74 years,0,0,210998,"8,158,548,717",Silent
Albania,2005,Female,75+ years,0,0,53191,"8,158,548,717",Silent
Albania,2005,Male,15-24 years,0,0,281675,"8,158,548,717",Millenials
Albania,2005,Male,25-34 years,0,0,177519,"8,158,548,717",Generation X
Albania,2005,Male,35-54 years,0,0,380242,"8,158,548,717",Boomers
Albania,2005,Male,05-14 years,0,0,291367,"8,158,548,717",Millenials
Albania,2005,Male,55-74 years,0,0,214118,"8,158,548,717",Silent
Albania,2005,Male,75+ years,0,0,38471,"8,158,548,717",Silent
Albania,2006,Female,15-24 years,0,0,283138,"8,992,642,349",Millenials
Albania,2006,Female,25-34 years,0,0,186391,"8,992,642,349",Generation X
Albania,2006,Female,35-54 years,0,0,388746,"8,992,642,349",Boomers
Albania,2006,Female,05-14 years,0,0,267316,"8,992,642,349",Millenials
Albania,2006,Female,55-74 years,0,0,215907,"8,992,642,349",Silent
Albania,2006,Female,75+ years,0,0,56011,"8,992,642,349",Silent
Albania,2006,Male,15-24 years,0,0,286679,"8,992,642,349",Millenials
Albania,2006,Male,25-34 years,0,0,174092,"8,992,642,349",Generation X
Albania,2006,Male,35-54 years,0,0,379076,"8,992,642,349",Boomers
Albania,2006,Male,05-14 years,0,0,282678,"8,992,642,349",Millenials
Albania,2006,Male,55-74 years,0,0,219360,"8,992,642,349",Silent
Albania,2006,Male,75+ years,0,0,40782,"8,992,642,349",Silent
Albania,2007,Male,75+ years,8,18.88,42366,"10,701,011,897",Silent
Albania,2007,Male,35-54 years,29,7.66,378626,"10,701,011,897",Boomers
Albania,2007,Male,55-74 years,14,6.25,224160,"10,701,011,897",Silent
Albania,2007,Female,75+ years,3,5.23,57404,"10,701,011,897",Silent
Albania,2007,Male,25-34 years,9,5.22,172494,"10,701,011,897",Generation X
Albania,2007,Female,15-24 years,13,4.63,281080,"10,701,011,897",Millenials
Albania,2007,Male,15-24 years,13,4.51,288349,"10,701,011,897",Millenials
Albania,2007,Female,25-34 years,8,4.36,183629,"10,701,011,897",Generation X
Albania,2007,Female,55-74 years,9,4.07,221120,"10,701,011,897",Silent
Albania,2007,Female,35-54 years,14,3.57,391811,"10,701,011,897",Boomers
Albania,2007,Male,05-14 years,4,1.47,272497,"10,701,011,897",Generation Z
Albania,2007,Female,05-14 years,0,0,256808,"10,701,011,897",Generation Z
Albania,2008,Male,25-34 years,21,12.15,172855,"12,881,352,688",Generation X
Albania,2008,Male,35-54 years,37,9.81,377119,"12,881,352,688",Boomers
Albania,2008,Male,55-74 years,21,9.18,228672,"12,881,352,688",Silent
Albania,2008,Female,75+ years,5,8.42,59369,"12,881,352,688",Silent
Albania,2008,Female,15-24 years,20,7.24,276073,"12,881,352,688",Millenials
Albania,2008,Female,25-34 years,9,4.93,182663,"12,881,352,688",Generation X
Albania,2008,Female,35-54 years,19,4.82,393832,"12,881,352,688",Boomers
Albania,2008,Male,75+ years,2,4.49,44574,"12,881,352,688",Silent
Albania,2008,Male,15-24 years,11,3.84,286702,"12,881,352,688",Millenials
Albania,2008,Female,55-74 years,7,3.09,226448,"12,881,352,688",Silent
Albania,2008,Male,05-14 years,7,2.67,262464,"12,881,352,688",Generation Z
Albania,2008,Female,05-14 years,1,0.41,246288,"12,881,352,688",Generation Z
Albania,2009,Female,15-24 years,0,0,270003,"12,044,212,904",Millenials
Albania,2009,Female,25-34 years,0,0,182712,"12,044,212,904",Generation X
Albania,2009,Female,35-54 years,0,0,394286,"12,044,212,904",Boomers
Albania,2009,Female,05-14 years,0,0,236174,"12,044,212,904",Generation Z
Albania,2009,Female,55-74 years,0,0,233302,"12,044,212,904",Silent
Albania,2009,Female,75+ years,0,0,61582,"12,044,212,904",Silent
Albania,2009,Male,15-24 years,0,0,283448,"12,044,212,904",Millenials
Albania,2009,Male,25-34 years,0,0,174955,"12,044,212,904",Generation X
Albania,2009,Male,35-54 years,0,0,374365,"12,044,212,904",Boomers
Albania,2009,Male,05-14 years,0,0,253007,"12,044,212,904",Generation Z
Albania,2009,Male,55-74 years,0,0,234570,"12,044,212,904",Silent
Albania,2009,Male,75+ years,0,0,47331,"12,044,212,904",Silent
Albania,2010,Male,55-74 years,20,8.27,241852,"11,926,953,259",Silent
Albania,2010,Male,35-54 years,20,5.38,371611,"11,926,953,259",Generation X
Albania,2010,Male,25-34 years,9,5.01,179720,"11,926,953,259",Generation X
Albania,2010,Male,75+ years,2,3.94,50767,"11,926,953,259",Silent
Albania,2010,Male,15-24 years,10,3.58,279508,"11,926,953,259",Millenials
Albania,2010,Female,25-34 years,6,3.27,183579,"11,926,953,259",Generation X
Albania,2010,Female,75+ years,2,3.1,64415,"11,926,953,259",Silent
Albania,2010,Female,35-54 years,12,3.04,394593,"11,926,953,259",Generation X
Albania,2010,Female,55-74 years,7,2.9,241491,"11,926,953,259",Silent
Albania,2010,Female,15-24 years,6,2.28,263581,"11,926,953,259",Millenials
Albania,2010,Female,05-14 years,2,0.89,223969,"11,926,953,259",Generation Z
Albania,2010,Male,05-14 years,0,0,240939,"11,926,953,259",Generation Z
Antigua and Barbuda,1985,Female,15-24 years,0,0,7709,"240,923,926",Generation X
Antigua and Barbuda,1985,Female,25-34 years,0,0,6344,"240,923,926",Boomers
Antigua and Barbuda,1985,Female,35-54 years,0,0,6173,"240,923,926",Silent
Antigua and Barbuda,1985,Female,05-14 years,0,0,7339,"240,923,926",Generation X
Antigua and Barbuda,1985,Female,55-74 years,0,0,3778,"240,923,926",G.I. Generation
Antigua and Barbuda,1985,Female,75+ years,0,0,949,"240,923,926",G.I. Generation
Antigua and Barbuda,1985,Male,15-24 years,0,0,7667,"240,923,926",Generation X
Antigua and Barbuda,1985,Male,25-34 years,0,0,6194,"240,923,926",Boomers
Antigua and Barbuda,1985,Male,35-54 years,0,0,5970,"240,923,926",Silent
Antigua and Barbuda,1985,Male,05-14 years,0,0,7304,"240,923,926",Generation X
Antigua and Barbuda,1985,Male,55-74 years,0,0,2723,"240,923,926",G.I. Generation
Antigua and Barbuda,1985,Male,75+ years,0,0,424,"240,923,926",G.I. Generation
Antigua and Barbuda,1986,Female,15-24 years,0,0,7668,"290,440,148",Generation X
Antigua and Barbuda,1986,Female,25-34 years,0,0,6209,"290,440,148",Boomers
Antigua and Barbuda,1986,Female,35-54 years,0,0,6101,"290,440,148",Silent
Antigua and Barbuda,1986,Female,05-14 years,0,0,6907,"290,440,148",Generation X
Antigua and Barbuda,1986,Female,55-74 years,0,0,3764,"290,440,148",G.I. Generation
Antigua and Barbuda,1986,Female,75+ years,0,0,1014,"290,440,148",G.I. Generation
Antigua and Barbuda,1986,Male,15-24 years,0,0,7563,"290,440,148",Generation X
Antigua and Barbuda,1986,Male,25-34 years,0,0,6023,"290,440,148",Boomers
Antigua and Barbuda,1986,Male,35-54 years,0,0,5947,"290,440,148",Silent
Antigua and Barbuda,1986,Male,05-14 years,0,0,6827,"290,440,148",Generation X
Antigua and Barbuda,1986,Male,55-74 years,0,0,2771,"290,440,148",G.I. Generation
Antigua and Barbuda,1986,Male,75+ years,0,0,476,"290,440,148",G.I. Generation
Antigua and Barbuda,1987,Female,15-24 years,0,0,7583,"337,174,852",Generation X
Antigua and Barbuda,1987,Female,25-34 years,0,0,6101,"337,174,852",Boomers
Antigua and Barbuda,1987,Female,35-54 years,0,0,6059,"337,174,852",Silent
Antigua and Barbuda,1987,Female,05-14 years,0,0,6623,"337,174,852",Generation X
Antigua and Barbuda,1987,Female,55-74 years,0,0,3738,"337,174,852",G.I. Generation
Antigua and Barbuda,1987,Female,75+ years,0,0,1081,"337,174,852",G.I. Generation
Antigua and Barbuda,1987,Male,15-24 years,0,0,7421,"337,174,852",Generation X
Antigua and Barbuda,1987,Male,25-34 years,0,0,5893,"337,174,852",Boomers
Antigua and Barbuda,1987,Male,35-54 years,0,0,5927,"337,174,852",Silent
Antigua and Barbuda,1987,Male,05-14 years,0,0,6499,"337,174,852",Generation X
Antigua and Barbuda,1987,Male,55-74 years,0,0,2798,"337,174,852",G.I. Generation
Antigua and Barbuda,1987,Male,75+ years,0,0,538,"337,174,852",G.I. Generation
Antigua and Barbuda,1988,Female,15-24 years,0,0,7413,"398,637,741",Generation X
Antigua and Barbuda,1988,Female,25-34 years,0,0,6041,"398,637,741",Boomers
Antigua and Barbuda,1988,Female,35-54 years,0,0,6021,"398,637,741",Silent
Antigua and Barbuda,1988,Female,05-14 years,0,0,6527,"398,637,741",Generation X
Antigua and Barbuda,1988,Female,55-74 years,0,0,3708,"398,637,741",G.I. Generation
Antigua and Barbuda,1988,Female,75+ years,0,0,1141,"398,637,741",G.I. Generation
Antigua and Barbuda,1988,Male,15-24 years,0,0,7209,"398,637,741",Generation X
Antigua and Barbuda,1988,Male,25-34 years,0,0,5826,"398,637,741",Boomers
Antigua and Barbuda,1988,Male,35-54 years,0,0,5907,"398,637,741",Silent
Antigua and Barbuda,1988,Male,05-14 years,0,0,6355,"398,637,741",Generation X
Antigua and Barbuda,1988,Male,55-74 years,0,0,2813,"398,637,741",G.I. Generation
Antigua and Barbuda,1988,Male,75+ years,0,0,603,"398,637,741",G.I. Generation
Antigua and Barbuda,1989,Female,15-24 years,0,0,7152,"438,794,778",Generation X
Antigua and Barbuda,1989,Female,25-34 years,0,0,6059,"438,794,778",Boomers
Antigua and Barbuda,1989,Female,35-54 years,0,0,5969,"438,794,778",Silent
Antigua and Barbuda,1989,Female,05-14 years,0,0,6621,"438,794,778",Generation X
Antigua and Barbuda,1989,Female,55-74 years,0,0,3696,"438,794,778",G.I. Generation
Antigua and Barbuda,1989,Female,75+ years,0,0,1195,"438,794,778",G.I. Generation
Antigua and Barbuda,1989,Male,15-24 years,0,0,6927,"438,794,778",Generation X
Antigua and Barbuda,1989,Male,25-34 years,0,0,5835,"438,794,778",Boomers
Antigua and Barbuda,1989,Male,35-54 years,0,0,5862,"438,794,778",Silent
Antigua and Barbuda,1989,Male,05-14 years,0,0,6403,"438,794,778",Generation X
Antigua and Barbuda,1989,Male,55-74 years,0,0,2843,"438,794,778",G.I. Generation
Antigua and Barbuda,1989,Male,75+ years,0,0,676,"438,794,778",G.I. Generation
Antigua and Barbuda,1990,Male,35-54 years,1,17.24,5799,"459,469,074",Silent
Antigua and Barbuda,1990,Female,15-24 years,0,0,6827,"459,469,074",Generation X
Antigua and Barbuda,1990,Female,25-34 years,0,0,6172,"459,469,074",Boomers
Antigua and Barbuda,1990,Female,35-54 years,0,0,5895,"459,469,074",Silent
Antigua and Barbuda,1990,Female,05-14 years,0,0,6877,"459,469,074",Generation X
Antigua and Barbuda,1990,Female,55-74 years,0,0,3706,"459,469,074",G.I. Generation
Antigua and Barbuda,1990,Female,75+ years,0,0,1252,"459,469,074",G.I. Generation
Antigua and Barbuda,1990,Male,15-24 years,0,0,6598,"459,469,074",Generation X
Antigua and Barbuda,1990,Male,25-34 years,0,0,5937,"459,469,074",Boomers
Antigua and Barbuda,1990,Male,05-14 years,0,0,6611,"459,469,074",Generation X
Antigua and Barbuda,1990,Male,55-74 years,0,0,2902,"459,469,074",G.I. Generation
Antigua and Barbuda,1990,Male,75+ years,0,0,758,"459,469,074",G.I. Generation
Antigua and Barbuda,1991,Female,15-24 years,0,0,6595,"481,706,333",Generation X
Antigua and Barbuda,1991,Female,25-34 years,0,0,6396,"481,706,333",Boomers
Antigua and Barbuda,1991,Female,35-54 years,0,0,6198,"481,706,333",Boomers
Antigua and Barbuda,1991,Female,05-14 years,0,0,7089,"481,706,333",Millenials
Antigua and Barbuda,1991,Female,55-74 years,0,0,3665,"481,706,333",Silent
Antigua and Barbuda,1991,Female,75+ years,0,0,1293,"481,706,333",G.I. Generation
Antigua and Barbuda,1991,Male,15-24 years,0,0,6401,"481,706,333",Generation X
Antigua and Barbuda,1991,Male,25-34 years,0,0,6156,"481,706,333",Boomers
Antigua and Barbuda,1991,Male,35-54 years,0,0,6122,"481,706,333",Boomers
Antigua and Barbuda,1991,Male,05-14 years,0,0,6818,"481,706,333",Millenials
Antigua and Barbuda,1991,Male,55-74 years,0,0,2857,"481,706,333",Silent
Antigua and Barbuda,1991,Male,75+ years,0,0,804,"481,706,333",G.I. Generation
Antigua and Barbuda,1992,Female,15-24 years,0,0,6369,"499,281,148",Generation X
Antigua and Barbuda,1992,Female,25-34 years,0,0,6650,"499,281,148",Boomers
Antigua and Barbuda,1992,Female,35-54 years,0,0,6534,"499,281,148",Boomers
Antigua and Barbuda,1992,Female,05-14 years,0,0,7311,"499,281,148",Millenials
